Cell,Foci,Drug,Time
Wide-type,4,ETP -,0
Wide-type,11,ETP -,0
Wide-type,4,ETP -,0
Wide-type,1,ETP -,0
Wide-type,3,ETP -,0
Wide-type,3,ETP -,0
Wide-type,1,ETP -,0
Wide-type,3,ETP -,0
Wide-type,1,ETP -,0
Wide-type,2,ETP -,0
Wide-type,0,ETP -,0
Wide-type,5,ETP -,0
Wide-type,0,ETP -,0
Wide-type,0,ETP -,0
Wide-type,7,ETP -,0
Wide-type,4,ETP -,0
Wide-type,1,ETP -,0
Wide-type,5,ETP -,0
Wide-type,1,ETP -,0
Wide-type,3,ETP -,0
Wide-type,2,ETP -,0
Wide-type,0,ETP -,0
Wide-type,1,ETP -,0
Wide-type,0,ETP -,0
Wide-type,1,ETP -,0
Wide-type,2,ETP -,0
Wide-type,1,ETP -,0
Wide-type,1,ETP -,0
Wide-type,2,ETP -,0
Wide-type,0,ETP -,0
Wide-type,1,ETP -,0
Wide-type,0,ETP -,0
Wide-type,1,ETP -,0
Wide-type,2,ETP -,0
Wide-type,0,ETP -,0
Wide-type,0,ETP -,0
Wide-type,0,ETP -,0
Wide-type,0,ETP -,0
Wide-type,2,ETP -,0
Wide-type,0,ETP -,0
Wide-type,0,ETP -,0
Wide-type,1,ETP -,0
Wide-type,1,ETP -,0
Wide-type,0,ETP -,0
Wide-type,1,ETP -,0
Wide-type,1,ETP -,0
Wide-type,3,ETP -,0
Wide-type,5,ETP -,0
Wide-type,4,ETP -,0
Wide-type,3,ETP +,0.1
Wide-type,2,ETP +,0.1
Wide-type,4,ETP +,0.1
Wide-type,5,ETP +,0.1
Wide-type,0,ETP +,0.1
Wide-type,2,ETP +,0.1
Wide-type,5,ETP +,0.1
Wide-type,7,ETP +,0.1
Wide-type,3,ETP +,0.1
Wide-type,8,ETP +,0.1
Wide-type,15,ETP +,0.1
Wide-type,20,ETP +,0.1
Wide-type,7,ETP +,0.1
Wide-type,18,ETP +,0.1
Wide-type,4,ETP +,0.1
Wide-type,5,ETP +,0.1
Wide-type,9,ETP +,0.1
Wide-type,12,ETP +,0.1
Wide-type,1,ETP +,0.1
Wide-type,10,ETP +,0.1
Wide-type,5,ETP +,0.1
Wide-type,5,ETP +,0.1
Wide-type,12,ETP +,0.1
Wide-type,5,ETP +,0.1
Wide-type,6,ETP +,0.1
Wide-type,11,ETP +,0.1
Wide-type,6,ETP +,0.1
Wide-type,9,ETP +,0.1
Wide-type,8,ETP +,0.1
Wide-type,1,ETP +,0.1
Wide-type,5,ETP +,0.1
Wide-type,5,ETP +,0.1
Wide-type,2,ETP +,0.1
Wide-type,11,ETP +,0.1
Wide-type,7,ETP +,0.1
Wide-type,6,ETP +,0.1
Wide-type,5,ETP +,0.1
Wide-type,10,ETP +,0.1
Wide-type,12,ETP +,0.1
Wide-type,7,ETP +,0.1
Wide-type,8,ETP +,0.1
Wide-type,2,ETP +,0.1
Wide-type,7,ETP +,0.1
Wide-type,15,ETP +,0.1
Wide-type,4,ETP +,0.1
Wide-type,9,ETP +,0.1
Wide-type,6,ETP +,0.1
Wide-type,4,ETP +,0.1
Wide-type,8,ETP +,0.1
Wide-type,4,ETP +,2
Wide-type,3,ETP +,2
Wide-type,1,ETP +,2
Wide-type,2,ETP +,2
Wide-type,0,ETP +,2
Wide-type,3,ETP +,2
Wide-type,2,ETP +,2
Wide-type,4,ETP +,2
Wide-type,0,ETP +,2
Wide-type,0,ETP +,2
Wide-type,5,ETP +,2
Wide-type,1,ETP +,2
Wide-type,0,ETP +,2
Wide-type,3,ETP +,2
Wide-type,1,ETP +,2
Wide-type,1,ETP +,2
Wide-type,4,ETP +,2
Wide-type,0,ETP +,2
Wide-type,1,ETP +,2
Wide-type,1,ETP +,2
Wide-type,0,ETP +,2
Wide-type,1,ETP +,2
Wide-type,2,ETP +,2
Wide-type,2,ETP +,2
Wide-type,3,ETP +,2
Wide-type,0,ETP +,2
Wide-type,0,ETP +,2
Wide-type,0,ETP +,2
Wide-type,1,ETP +,2
Wide-type,0,ETP +,2
Wide-type,0,ETP +,2
Wide-type,0,ETP +,2
Wide-type,3,ETP +,2
Wide-type,3,ETP +,2
Wide-type,0,ETP +,2
Wide-type,0,ETP +,2
Wide-type,3,ETP +,2
Wide-type,1,ETP +,2
Wide-type,3,ETP +,2
Wide-type,4,ETP +,2
Wide-type,3,ETP +,2
Wide-type,0,ETP +,2
Wide-type,1,ETP +,2
Wide-type,3,ETP +,2
Wide-type,8,ETP +,2
Wide-type,5,ETP +,2
Wide-type,2,ETP +,2
Wide-type,1,ETP +,2
Wide-type,0,ETP +,2
Wide-type,4,ETP +,6
Wide-type,11,ETP +,6
Wide-type,4,ETP +,6
Wide-type,1,ETP +,6
Wide-type,3,ETP +,6
Wide-type,3,ETP +,6
Wide-type,1,ETP +,6
Wide-type,3,ETP +,6
Wide-type,1,ETP +,6
Wide-type,2,ETP +,6
Wide-type,0,ETP +,6
Wide-type,5,ETP +,6
Wide-type,0,ETP +,6
Wide-type,0,ETP +,6
Wide-type,7,ETP +,6
Wide-type,4,ETP +,6
Wide-type,1,ETP +,6
Wide-type,5,ETP +,6
Wide-type,1,ETP +,6
Wide-type,3,ETP +,6
Wide-type,2,ETP +,6
Wide-type,0,ETP +,6
Wide-type,1,ETP +,6
Wide-type,0,ETP +,6
Wide-type,1,ETP +,6
Wide-type,2,ETP +,6
Wide-type,1,ETP +,6
Wide-type,1,ETP +,6
Wide-type,2,ETP +,6
Wide-type,0,ETP +,6
Wide-type,1,ETP +,6
Wide-type,0,ETP +,6
